hostname;port;description
swLPD-2B-2;gi1/0/9;PC_MCIESLAK
swGPD-S1;gi1/0/40;PC_MAGAZYN-SERWIS
swLPD-2B-1;gi1/0/21;VOIP_130.30
swGPD-S2;gi1/0/47;VOIP_130.2
swLPD-1B-1;gi1/0/47;KD_255.21
swLPD-2B-2;gi1/0/10;PC_MJERCZYNSKA
swGPD-S1;gi1/0/41;PC_MLATUSEK
swLPD-2B-1;gi1/0/22;D_10.32
swGPD-S2;gi1/0/48;Daikin ?
swLPD-1B-1;gi1/0/48;KD_255.31
swLPD-2B-2;gi1/0/11;VOIP_130.21
swGPD-S1;gi1/0/42;PC_ANIELACNA
swLPD-2B-1;gi1/0/23;D_10.43
swLPD-2B-2;gi1/0/12;PC_PMICKAN-M
swGPD-S2;te1/0/1;swGPD-S1
swLPD-1B-1;te1/0/1;swGPD-SA
swGPD-S1;gi1/0/43;PC_SSRODECKA
swLPD-2B-1;gi1/0/24;PC_MJANICKI
swLPD-3B;gi1/0/1;AP_LPD-3B-1
swLPD-2B-2;gi1/0/13;PC_LGUDRA
swLPD-1B-1;te1/0/3;swLPD-1B-2
swGPD-S1;gi1/0/44;PC_MAGAZYN-SERWIS
swLPD-2B-1;gi1/0/25;PC_ESIKORA
swLPD-2B-2;gi1/0/14;PC_SHODYAS
swLPD-3B;gi1/0/2;AP_LPD-3B-2
swLPD-1B-2;gi1/0/1;D_10.15
swGPD-S1;gi1/0/45;PC_TMIKOS
swLPD-2B-1;gi1/0/26;PC_OBENTKOWSKI
swLPD-1B-2;gi1/0/2;PC_MTASINSKI-M
swLPD-2B-2;gi1/0/15;PC_AGASZCZAK
swGPD-S1;gi1/0/46;PC_PNOWACKI
swLPD-3B;gi1/0/3;AP_LPD-3B-3
swLPD-2B-1;gi1/0/27;VOIP_130.20
swGPD-S1;gi1/0/47;PC_ENAWROT
swLPD-1B-2;gi1/0/3;VOIP_130.15
swLPD-3B;gi1/0/4;AP_LPD-3B-4
swLPD-2B-2;gi1/0/16;PC_MANAWROT-M
swLPD-2B-1;gi1/0/28;PC_SKONF-ZAKUPY
swLPD-1B-2;gi1/0/4;PC_MWEBER-M
swGPD-S1;gi1/0/48;ORANGE_CELLFI
swLPD-2B-2;gi1/0/17;D_10.46
swLPD-3B;gi1/0/5;IOT_MOS-ZARZAD
swLPD-2B-1;gi1/0/29;PC_ASZCZEPANIAK
swLPD-1B-2;gi1/0/5;D_10.14
swGPD-S1;te1/0/1;swGPD-SA
swLPD-2B-2;gi1/0/18;VOIP_130.35
swLPD-3B;gi1/0/7;D_10.3
swLPD-2B-1;gi1/0/31;VOIP_130.10
swLPD-1B-2;gi1/0/6;VOIP_130.16
swGPD-S1;te1/0/2;swGPD-S2
swLPD-2B-2;gi1/0/20;D_10.31
swLPD-3B;gi1/0/8;PC_ASLOTA-M
swLPD-2B-1;gi1/0/32;D_10.63
swLPD-1B-2;gi1/0/7;PC_GGUDRA-M
swGPD-S1;te1/0/3;RT_MROCZEN
swLPD-2B-2;gi1/0/22;VOIP_130.32
swLPD-3B;gi1/0/11;PC_JSIWA
swLPD-2B-1;gi1/0/33;PC_NSTEFANSKA
swLPD-1B-2;gi1/0/8;VoIP_130.13
swLPD-2B-2;gi1/0/23;D_10.21
swGPD-SER-SW;gi1/0/1;EVO
swLPD-3B;gi1/0/13;D_10.26
swLPD-2B-1;gi1/0/35;PC_SKROBSKI
swLPD-1B-2;gi1/0/9;PC_MWYROSTEK-M
swLPD-2B-2;gi1/0/24;PC_KSZYMANSKA-M
swGPD-SER-SW;gi1/0/2;ODYS
swLPD-3B;gi1/0/14;D_10.42
swLPD-2B-1;gi1/0/36;PC_NMOZDZANOWSKA
swLPD-1B-2;gi1/0/10;PC_LIRABIEGA
swLPD-2B-2;gi1/0/25;PC_JIDZIK
swGPD-SER-SW;gi1/0/3;ONYX
swLPD-2B-1;gi1/0/38;PC_MPRZYBYL
swLPD-1B-2;gi1/0/12;VOIP_130.26
swLPD-2B-2;gi1/0/26;D_10.34
swLPD-3B;gi1/0/20;VOIP_130.27
swGPD-SER-SW;gi1/0/4;ENYO
swLPD-2B-1;gi1/0/39;PC_AKUCHARSKA
swLPD-1B-2;gi1/0/13;D_10.53
swLPD-3B;gi1/0/24;VOIP DOWN
swGPD-SER-SW;gi1/0/5;NEVO
swLPD-2B-2;gi1/0/28;VOIP_130.31
swLPD-2B-1;gi1/0/40;VOIP_130.7
swLPD-3B;gi1/0/25;PC_KBIALEK
swGPD-SER-SW;gi1/0/6;ARES
swLPD-1B-2;gi1/0/14;PC_AJAMKA
swLPD-2B-2;gi1/0/29;VOIP_130.4
swLPD-2B-1;gi1/0/41;PC_MHODERA
swGPD-SER-SW;gi1/0/7;IVO
swLPD-1B-2;gi1/0/15;D_10.41
swLPD-3B;gi1/0/26;VOIP_130.33
swLPD-2B-2;gi1/0/30;PC_EKALUS
swLPD-3B;gi1/0/28;D_10.45
swLPD-2B-1;gi1/0/42;PC_MJEDRYSIAK
swLPD-1B-2;gi1/0/16;PC_WGIERAK
swGPD-SER-SW;gi1/0/8;QNAP 2.10
swLPD-2B-2;gi1/0/31;PC_SRYBCZYNSKA
swLPD-3B;gi1/0/29;PC_MRABIEGA
swLPD-2B-1;gi1/0/44;PC_WKRAWCZYK
swGPD-SER-SW;gi1/0/10;SIPTRUNK
swLPD-1B-2;gi1/0/17;PC_MARNAWROT
swLPD-2B-2;gi1/0/32;PC_ADOMAGALA
swLPD-3B;gi1/0/30;D_10.60
swGPD-SER-SW;gi1/0/11;SLICAN_INT
swLPD-1B-2;gi1/0/18;PC_MCHOLAS
swLPD-2B-1;gi1/0/46;PC_NNEWES
swLPD-2B-2;gi1/0/33;VOIP_130.5
swLPD-3B;gi1/0/32;PC_JTOMCZYSZYN
swLPD-1B-2;gi1/0/19;PC_JHANKE
swGPD-SER-SW;gi1/0/12;SLICAN_RDU
swLPD-2B-1;gi1/0/48;PC_NBATOR
swLPD-2B-2;gi1/0/34;PC_APILARSKA
swLPD-3B;gi1/0/34;PC_NO_MAC
swLPD-1B-2;gi1/0/20;D_10.54
swGPD-SER-SW;gi1/0/13;ILO-EVO
swLPD-2B-2;gi1/0/35;PC_ARABIEGA
swLPD-2B-1;te1/0/1;swGPD-SA
swLPD-3B;gi1/0/37;INEA_TV_SZEF
swLPD-1B-2;gi1/0/21;D_10.55
swGPD-SER-SW;gi1/0/14;ILO-ONYX
swLPD-2B-1;te1/0/2;swLPD-2B-2
swLPD-2B-2;gi1/0/36;VOIP_130.11
swLPD-3B;gi1/0/38;PC_MNOCULAK
swLPD-1B-2;gi1/0/22;PC_GSZUP
swGPD-SER-SW;gi1/0/15;ILO-NEVO
swLPD-2B-2;gi1/0/37;PC_JDZIOBIAK
swLPD-2B-1;te1/0/3;swLPD-2B-3
swLPD-3B;gi1/0/43;D_10.19
swLPD-2B-2;gi1/0/38;D_10.58
swLPD-1B-2;gi1/0/23;Switch-Kuchnia(TEMP)
swLPD-3B;gi1/0/44;PC_DRABIEGA
swLPD-2B-2;gi1/0/39;PC_MASZALEK-M
swLPD-1B-2;gi1/0/24;PC_FOTOBUDKA
swGPD-SER-SW;gi1/0/17;ILO-IVO
swGPD-SER-ETH;te1/0/2;THORN
swLPD-3B;gi1/0/45;PC_LRABIEGA
swLPD-2B-2;gi1/0/40;PC_JMUSIAL
swLPD-1B-2;gi1/0/25;PC_DSZEFNER
swGPD-SER-SW;gi1/0/18;ILO-ARES
swLPD-3B;gi1/0/46;KD_255.35
swGPD-SER-ETH;te1/0/3;ONYX
swLPD-2B-2;gi1/0/41;PC_TWABNIC
swLPD-1B-2;gi1/0/26;D_10.66
swGPD-SER-SW;gi1/0/19;ILO-ODYS
swLPD-3B;gi1/0/47;KD_255.29
swGPD-SER-ETH;te1/0/4;EVO
swLPD-2B-2;gi1/0/42;VOIP_130.25
swGPD-SER-SW;gi1/0/21;BMS
swLPD-1B-2;gi1/0/27;MonitorGOPOS
swGPD-SER-ETH;te1/0/5;ARES
swLPD-3B;gi1/0/48;KD_255.28
swLPD-2B-2;gi1/0/43;D_10.98
swGPD-SER-SW;gi1/0/24;RLK-1 Roger
swLPD-1B-2;gi1/0/28;MonitorGOPOS
swGPD-SER-ETH;te1/0/6;NEVO
swLPD-3B;te1/0/1;swGPD-SA
swLPD-2B-2;gi1/0/44;D_10.36
swLPD-1B-2;gi1/0/30;VOIP_130.9
swGPD-SER-SW;te1/0/1;swGPD-SER-SW
swGPD-SER-ETH;te1/0/7;IVO
swGPD-S3;gi1/0/1;PC_SGRZEGOREK-P
swLPD-2B-2;gi1/0/45;PC_APONITKA
swLPD-1B-2;gi1/0/31;PC_MKAMINSKI-M
swLPD-1B-3;gi1/0/2;PC_PRABIEGA
swGPD-SER-ETH;te1/0/8;ENYO
swGPD-S3;gi1/0/2;PC_NO_MAC
swLPD-2B-2;gi1/0/46;D_10.51
swLPD-1B-2;gi1/0/32;D_10.11
swLPD-1B-3;gi1/0/3;PC_JCIERPIK-M
swGPD-SER-ETH;te1/0/9;swGPD-SER-ETH
swGPD-S3;gi1/0/3;INEA_TV
swLPD-2B-2;gi1/0/47;D_10.37
swLPD-1B-2;gi1/0/33;VOIP_130.3
swLPD-1B-3;gi1/0/4;D_10.9
swGPD-SER-ETH;te1/0/10;BLAZE
swLPD-2B-2;gi1/0/48;PC_KSZLEZYNGER
swLPD-1B-2;gi1/0/34;PC_JPIASECKI
swGPD-S3;gi1/0/4;D_10.67
swLPD-1B-3;gi1/0/5;PC_JWASALA
swLPD-2B-2;te1/0/1;swLPD-2B-1
swGPD-S3;gi1/0/5;PC_PSKAPSKI
swLPD-1B-2;gi1/0/35;D_10.22
swLPD-1B-3;gi1/0/7;VOIP_130.42
swLPD-1B-2;gi1/0/37;INEA_TV
swGPD-S3;gi1/0/6;PC_DSTRYJAKIEWICZ-M
swLPD-1B-3;gi1/0/8;PC_ARYBCZYNSKA-M
